Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.01    0.00   89987/89987       blackenObject [16]
[24]     0.2    0.01    0.00   89987         markArray [24]
                0.00    0.00  539922/33385173     markValue [20]
-----------------------------------------------
                               19989             sweep <cycle 1> [19]
                0.00    0.02     379/141217      freeObjects [23]
[25]     0.2    0.01    0.00   20368         freeObject <cycle 1> [25]
                0.00    0.00       1/1           freeChunk [154]
                               40741             reallocate <cycle 1> [77]
                                  12             freeTable <cycle 1> [123]
-----------------------------------------------
                0.00    0.01       1/1           interpret [3]
[26]     0.1    0.00    0.01       1         bootstrapCore [26]
                0.00    0.00       1/1           registerMathLibrary [33]
                0.00    0.00       1/1           registerListLibrary [37]
                0.00    0.00       1/1           registerStringLibrary [41]
                0.00    0.00       1/1           registerIOLibrary [40]
                0.00    0.00       1/1           registerCoreLibrary [43]
-----------------------------------------------
                0.00    0.00       3/22          registerCoreLibrary [43]
                0.00    0.00       4/22          registerIOLibrary [40]
                0.00    0.00       4/22          registerStringLibrary [41]
                0.00    0.00       5/22          registerListLibrary [37]
                0.00    0.00       6/22          registerMathLibrary [33]
[27]     0.1    0.00    0.01      22         registerNativePhrasal [27]
                0.00    0.00      65/141217      reallocate <cycle 1> [77]
                0.00    0.00      22/22          newMultiFunction [42]
                0.00    0.00      22/24          newNative [39]
                0.00    0.00      44/50315       copyString [11]
                0.00    0.00      44/20366       tableSet [30]
                0.00    0.00     117/110461      push [78]
                0.00    0.00     117/60461       pop [80]
                0.00    0.00      22/22          registerSignature [114]
                0.00    0.00      22/22          tableGet [116]
-----------------------------------------------
                0.00    0.01       1/1           main [1]
[28]     0.1    0.00    0.01       1         initVM [28]
                0.00    0.00     256/50315       copyString [11]
                0.00    0.00      11/11          defineNativeType [48]
                0.00    0.00       2/2           defineNativeGetter [60]
                0.00    0.00       3/30          initTable [109]
                0.00    0.00       1/1           resetStack [163]
                0.00    0.00       1/1           initSignatureTable [159]
-----------------------------------------------
                0.00    0.00       1/1           interpret [3]
[29]     0.0    0.00    0.00       1         compile [29]
                0.00    0.00       1/1           parseSource [32]
                0.00    0.00       1/1           freeNode [38]
                0.00    0.00       1/1           generateCode [67]
-----------------------------------------------
                0.00    0.00       1/20366       interpret [3]
                0.00    0.00       2/20366       defineNativeGetter [60]
                0.00    0.00      11/20366       defineNativeType [48]
                0.00    0.00      44/20366       registerNativePhrasal [27]
                0.00    0.00   20308/20366       allocateString [13]
[30]     0.0    0.00    0.00   20366         tableSet [30]
                0.00    0.00      20/20          adjustCapacity [31]
                0.00    0.00   20366/42322       findEntry [86]
-----------------------------------------------
                0.00    0.00      20/20          tableSet [30]
[31]     0.0    0.00    0.00      20         adjustCapacity [31]
                0.00    0.00      40/141217      reallocate <cycle 1> [77]
                0.00    0.00    1945/42322       findEntry [86]
-----------------------------------------------
                0.00    0.00       1/1           compile [29]
[32]     0.0    0.00    0.00       1         parseSource [32]
                0.00    0.00       2/2           declaration [35]
                0.00    0.00       1/1           newBlockNode [63]
                0.00    0.00       1/3           freeNodeArray [57]
                0.00    0.00       2/26          writeNodeArray [56]
                0.00    0.00       3/51          match [103]
                0.00    0.00       1/1           initScanner [158]
                0.00    0.00       1/1           resetParserState [162]
                0.00    0.00       1/21          advance [117]
                0.00    0.00       1/6           initNodeArray [130]
-----------------------------------------------
                0.00    0.00       1/1           bootstrapCore [26]
[33]     0.0    0.00    0.00       1         registerMathLibrary [33]
                0.00    0.00       6/22          registerNativePhrasal [27]
-----------------------------------------------
[34]     0.0    0.00    0.00       1+2       <cycle 3 as a whole> [34]
                0.00    0.00       2             statement <cycle 3> [45]
                0.00    0.00       1             forStatement <cycle 3> [47]
-----------------------------------------------
                0.00    0.00       2/2           parseSource [32]
[35]     0.0    0.00    0.00       2         declaration [35]
                0.00    0.00       1/1           statement <cycle 3> [45]
                0.00    0.00       2/4           ignoreNewlines [134]
                0.00    0.00       2/56          check [102]
                0.00    0.00       2/51          match [103]
-----------------------------------------------
[36]     0.0    0.00    0.00       2+13      <cycle 2 as a whole> [36]
                0.00    0.00       1             interpolation <cycle 2> [49]
                0.00    0.00       8             parsePrecedence <cycle 2> [50]
                0.00    0.00       1             binary <cycle 2> [59]
                0.00    0.00       1             range <cycle 2> [65]
                0.00    0.00       4+2           expression <cycle 2> [66]
-----------------------------------------------
                0.00    0.00       1/1           bootstrapCore [26]
[37]     0.0    0.00    0.00       1         registerListLibrary [37]
                0.00    0.00       5/22          registerNativePhrasal [27]
-----------------------------------------------
                0.00    0.00       1/1           compile [29]
[38]     0.0    0.00    0.00       1         freeNode [38]
                0.00    0.00      22/141217      reallocate <cycle 1> [77]
                0.00    0.00      19/26          writeNodeArray [56]
                0.00    0.00       1/3           freeNodeArray [57]
                0.00    0.00       1/6           initNodeArray [130]
-----------------------------------------------
                0.00    0.00       2/24          defineNativeGetter [60]
                0.00    0.00      22/24          registerNativePhrasal [27]
[39]     0.0    0.00    0.00      24         newNative [39]
                0.00    0.00      24/20368       allocateObject [12]
-----------------------------------------------
                0.00    0.00       1/1           bootstrapCore [26]
[40]     0.0    0.00    0.00       1         registerIOLibrary [40]
                0.00    0.00       4/22          registerNativePhrasal [27]
-----------------------------------------------
                0.00    0.00       1/1           bootstrapCore [26]
[41]     0.0    0.00    0.00       1         registerStringLibrary [41]
                0.00    0.00       4/22          registerNativePhrasal [27]
-----------------------------------------------
                0.00    0.00      22/22          registerNativePhrasal [27]
[42]     0.0    0.00    0.00      22         newMultiFunction [42]
                0.00    0.00      22/20368       allocateObject [12]
-----------------------------------------------
                0.00    0.00       1/1           bootstrapCore [26]
[43]     0.0    0.00    0.00       1         registerCoreLibrary [43]
                0.00    0.00       3/22          registerNativePhrasal [27]
-----------------------------------------------
                0.00    0.00       1/17          newIfNode [72]
                0.00    0.00       1/17          newRangeNode [75]
                0.00    0.00       1/17          newBlockNode [63]
                0.00    0.00       1/17          newSingleExprNode [76]
                0.00    0.00       1/17          newForNode [70]
                0.00    0.00       1/17          newInterpolationNode [64]
                0.00    0.00       2/17          newVariableNode [61]
                0.00    0.00       9/17          newLiteralNode [54]
[44]     0.0    0.00    0.00      17         allocateNode [44]
                0.00    0.00      17/141217      reallocate <cycle 1> [77]
-----------------------------------------------
                                   1             forStatement <cycle 3> [47]
                0.00    0.00       1/1           declaration [35]
[45]     0.0    0.00    0.00       2         statement <cycle 3> [45]
                0.00    0.00       1/1           expressionStatement [46]
                0.00    0.00      21/51          match [103]
                0.00    0.00       2/4           ignoreNewlines [134]
                                   1             forStatement <cycle 3> [47]
-----------------------------------------------
                0.00    0.00       1/1           statement <cycle 3> [45]
[46]     0.0    0.00    0.00       1         expressionStatement [46]
                0.00    0.00       1/2           expression <cycle 2> [66]
                0.00    0.00       1/1           newSingleExprNode [76]
-----------------------------------------------
                                   1             statement <cycle 3> [45]
[47]     0.0    0.00    0.00       1         forStatement <cycle 3> [47]
                0.00    0.00       1/2           expression <cycle 2> [66]
                0.00    0.00       1/1           newForNode [70]
                0.00    0.00       3/56          check [102]
                0.00    0.00       2/51          match [103]
                0.00    0.00       1/1           consumeHint [149]
                0.00    0.00       1/21          advance [117]
                                   1             statement <cycle 3> [45]
-----------------------------------------------
                0.00    0.00      11/11          initVM [28]
[48]     0.0    0.00    0.00      11         defineNativeType [48]
                0.00    0.00      11/11          newType [51]
                0.00    0.00      11/50315       copyString [11]
                0.00    0.00      11/20366       tableSet [30]
                0.00    0.00      22/110461      push [78]
                0.00    0.00      22/60461       pop [80]
-----------------------------------------------
